Name,DC,LAC,BC,CC,NC,Essentiality
YKL217W,0.0002028809089064719,0.0,0.17074480868492728,0.0,1.0,0
YIL174W,0.0004057618178129438,0.00020551236753678874,0.26938760911907894,0.0,0.5,0
YMR057C,0.0002028809089064719,0.0,0.20310213715758288,0.0,1.0,0
YNL036W,0.0006086427267194157,8.607954642063819e-05,0.2367197305869078,0.0,0.3333333333333333,1
YNL165W,0.0002028809089064719,0.0,0.2216627749045413,0.0,1.0,0
YOR011W,0.0002028809089064719,0.0,0.2216627749045413,0.0,1.0,0
YIR010W,0.0002028809089064719,0.0,0.19014533139028061,0.0,1.0,1
YLR202C,0.0004057618178129438,0.0004012332260962815,0.23540166624740852,0.0,0.5,0
YIR012W,0.0006086427267194157,0.0008023841141613508,0.2363830356932386,0.0,0.3333333333333333,1
YJR004C,0.0002028809089064719,0.0,0.19078512052685623,0.0,1.0,0
YLR075W,0.0002028809089064719,0.0,0.19078512052685623,0.0,1.0,1
YIR013C,0.0002028809089064719,0.0,0.18509922861776795,0.0,1.0,0
YJL102W,0.0004057618178129438,0.0004012332260962815,0.22771621614691434,0.0,0.5,0
YLR437C,0.0004057618178129438,5.922499080622467e-06,0.21700196824626033,0.0,0.5,0
YNL314W,0.0006086427267194157,3.144998001380352e-05,0.23472525762184981,0.6666666666666666,0.7355371900826446,0
YIR025W,0.0004057618178129438,8.253812999339661e-05,0.27267970097592314,0.0,0.5,0
YIR027C,0.0002028809089064719,0.0,0.18620769287754285,0.0,1.0,0
YIR028W,0.0002028809089064719,0.0,0.16777879672594312,0.0,1.0,0
YIR035C,0.0004057618178129438,2.039845852739147e-05,0.23947201206148477,0.0,0.5,0
YIR036C,0.0002028809089064719,0.0,0.24083618402705587,0.0,1.0,0
YIR037W,0.0004057618178129438,3.593672980298287e-05,0.25161126153742847,0.0,0.5,0
YIR042C,0.0002028809089064719,0.0,0.21021562850566763,0.0,1.0,0
YML019W,0.0008115236356258876,0.00027035124682182605,0.24496130697582935,0.0,0.25,0
YJL006C,0.0004057618178129438,0.0,0.21225233252959186,1.0,0.7624388598414572,0
YJL011C,0.0004057618178129438,0.0,0.22699763162911843,1.0,0.6110519395134779,1
YJR143C,0.0004057618178129438,2.213059472976418e-05,0.23681278079547183,0.0,0.5,0
YJR152W,0.0004057618178129438,1.2936509824857898e-06,0.22275899957244605,0.0,0.5,0
YJL019W,0.0008115236356258876,8.1080178303579e-05,0.237104034768999,0.0,0.25,1
YJL034W,0.0010144045445323595,0.0005031422019226785,0.26491583107510813,0.0,0.20000000000000004,1
YMR297W,0.0006086427267194157,1.790742298583974e-05,0.23774732215614847,0.0,0.3333333333333333,0
YLR316C,0.0002028809089064719,0.0,0.17605251734181188,0.0,1.0,1
YLR312W-A,0.0002028809089064719,0.0,0.21945240482421646,0.0,1.0,0
YPL207W,0.0004057618178129438,2.9180132567852653e-05,0.23161198110190026,0.0,0.5,1
YJL048C,0.0008115236356258876,0.00012115999810040102,0.25170324392884075,0.0,0.25,0
YJL052W,0.0002028809089064719,0.0,0.25614443637061235,0.0,1.0,0
YOR132W,0.0006086427267194157,0.0,0.20956664556698157,2.0,1.2097505668934239,0
YJL055W,0.0002028809089064719,0.0,0.2149118752675217,0.0,1.0,0
YJL057C,0.0008115236356258876,4.855262776344932e-05,0.24521056803609476,0.5,0.4091326530612245,0
YJL143W,0.0010144045445323595,7.797843828176387e-05,0.21645619845277292,0.8,0.4618921642731167,1
YNR029C,0.0004057618178129438,1.2144497100556042e-05,0.19802833900687988,0.0,0.5,0
YJL067W,0.0004057618178129438,2.805544033078779e-05,0.24334109435269322,0.0,0.5,0
YML093W,0.0002028809089064719,0.0,0.21356909269062976,0.0,1.0,1
