Name,DC,LAC,BC,CC,NC,Essentiality
Q0045,0.0035467281432878172,3.0996760437849205e-05,0.31488720125083763,4.1,3.864268949780521,0
Q0085,0.0033693917361234263,3.112097126434604e-05,0.3235041018874419,4.2105263157894735,3.877084446982034,0
Q0105,0.0014186912573151268,2.192136821658712e-05,0.31729687148323205,1.5,0.2998618135672291,0
Q0140,0.0015960276644795177,3.9360722509492545e-05,0.39241475295755046,2.2222222222222223,0.25382709411313326,0
Q0250,0.0028373825146302536,2.010368616965591e-05,0.32331861705177456,1.875,0.6701231814006873,0
Q0275,0.0017733640716439086,1.4654907263605046e-05,0.31722547254725475,2.6,0.7398906969458194,0
YER154W,0.0037240645504522077,0.0004988184471442514,0.4238574864702345,2.6666666666666665,1.1121271709595981,0
YGL187C,0.0026600461074658627,8.984251482098518e-05,0.39287953737894515,3.066666666666667,1.1698491494202692,0
YGR112W,0.0026600461074658627,5.267934502463731e-06,0.30966501922020867,4.0,2.522653998392083,0
YGR222W,0.001064018442986345,3.0373961413769396e-06,0.28990797388309086,1.0,0.6420138888888889,0
YHR051W,0.001064018442986345,3.817853580709637e-05,0.39146129816036096,1.0,0.4320209954353123,0
YIL111W,0.001241354850150736,0.00015721994301282286,0.4058294350485786,2.5714285714285716,0.37537998912391146,0
YIL157C,0.001064018442986345,3.616087905446111e-05,0.3892186637217007,4.0,0.8151874949845694,0
YJL062W-A,0.0026600461074658627,9.129992747274657e-05,0.4083864426419467,4.666666666666667,1.9312771504960387,0
YLR203C,0.004433410179109771,0.00022757422651074473,0.36336104130420777,3.28,2.3583760369488243,0
YLR395C,0.0003546728143287817,1.5350779696877832e-05,0.3888429182181768,0.0,0.5,0
YML129C,0.0037240645504522077,0.00031864778411245474,0.40703046051681824,5.142857142857143,5.188530743532737,0
YMR256C,0.001064018442986345,3.6739971580925246e-05,0.40912718566349854,1.6666666666666667,0.2827546857626645,0
YNL052W,0.0019507004788082993,7.30860371646815e-05,0.4062680115273775,3.8181818181818183,1.1460708027873687,0
YOL027C,0.010994857244192233,0.0004705689237430927,0.35958423670450196,14.709677419354838,26.86769027211001,0
YPL172C,0.0005320092214931725,1.8145934533090633e-06,0.31128898702732544,0.0,0.3333333333333333,0
